substitution_name,smiles,source
none,[H],
methyl,[CH3],
methoxy, [OH0]C,
trifluoromethyl,[CH0](F)(F)F,
cyano,[CH0]#N,
cyanate, [OH0]C#N, https://doi.org/10.1039/D1SC01426A
tertbutyl,[CH2]C(C)(C)C,
SiMe3,[SiH0](-C)(-C)-C,
pyrrole,[NH0]1C=CC=C1,
benzyl,[cH0]1ccccc1,
mesityl,[cH0]1c(C)cc(C)cc(C)1,
N-methylpyrrolidine, [CH1]N1CCCC1,
3-(trifluoromethyl)pyridine, C(C1=CC=CN=C1)(F)(F)F, Dap-5,
pyridine, C1=NC=CC=C1, Dap-2,
1,6-dimethoxy-9λ2-carbazole, COC1=CC=C([N]C2=C3C=CC=C2OC)C3=C1, Cz7,
methoxy, [O]C, Cz7,
N-dimethyl, [NH0](C)(C), Dap-3,

